Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM128_R1	(1.0, 38.18711196835709)	(2.0, 18.821517854617174)	(3.0, 12.75597379862361)	(4.0, 8.900840037354055)	(5.0, 6.229505488031454)	(6.0, 4.252676190112177)	(7.0, 3.0880549021727854)	(8.0, 2.0969161031245718)	(9.0, 1.5685371146251237)	('>10', 4.042056438369788)	('>50', 0.024195546977276817)	('>100', 0.010616940677780124)	('>500', 0.021997616957114528)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM128_R2	(1.0, 40.501012124096505)	(2.0, 17.918991897927498)	(3.0, 12.101503646634226)	(4.0, 8.505877121436981)	(5.0, 5.876177629648206)	(6.0, 4.228381092617796)	(7.0, 2.889447116066226)	(8.0, 2.0157537171959508)	(9.0, 1.563080134713541)	('>10', 4.171041436688434)	('>50', 0.0190064442237262)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.20972763875095282)	('>10k+', 0.0)
IDDLNTM129_R1	(1.0, 34.54797857853316)	(2.0, 17.928590724735336)	(3.0, 12.655198482900525)	(4.0, 9.197990831617084)	(5.0, 6.668225714559231)	(6.0, 4.862965820901512)	(7.0, 3.5936283482688505)	(8.0, 2.650342548839455)	(9.0, 1.979332795562751)	('>10', 5.88274734139908)	('>50', 0.003936341656557439)	('>100', 0.007633194329227154)	('>500', 0.0)	('>1k', 0.021429276697228595)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM129_R2	(1.0, 37.56710963897843)	(2.0, 17.21769961884288)	(3.0, 11.92506114511514)	(4.0, 8.584705596386451)	(5.0, 6.350062973068779)	(6.0, 4.663294653832277)	(7.0, 3.365372329954158)	(8.0, 2.5302511633406244)	(9.0, 1.8540672467451997)	('>10', 5.766203564465299)	('>50', 0.0016181654310278436)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17455390383970637)	('>10k+', 0.0)
IDDLNTM13.A_R1	(1.0, 38.97911582507142)	(2.0, 18.363172575217448)	(3.0, 12.369362830065747)	(4.0, 8.41183239212391)	(5.0, 6.0264918419565525)	(6.0, 4.20923298483082)	(7.0, 2.877752123145188)	(8.0, 2.157837278480258)	(9.0, 1.4927766728971967)	('>10', 4.801587680230474)	('>50', 0.25013938442437006)	('>100', 0.04572363675780029)	('>500', 0.014974774798869836)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM13.A_R2	(1.0, 40.95431327983559)	(2.0, 17.73708703025783)	(3.0, 11.840365459989574)	(4.0, 8.128349822716405)	(5.0, 5.596329414904589)	(6.0, 4.069862848396013)	(7.0, 2.855358336230221)	(8.0, 2.074091932241917)	(9.0, 1.462962857201754)	('>10', 4.8524890462177765)	('>50', 0.2626636874007546)	('>100', 0.06369075596376586)	('>500', 0.0)	('>1k', 0.10243552864382167)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM13.B_R1	(1.0, 39.55826217893356)	(2.0, 18.405403183455192)	(3.0, 12.19266853513673)	(4.0, 8.310911439314701)	(5.0, 5.722294671266572)	(6.0, 4.053351057877956)	(7.0, 2.9466617355427203)	(8.0, 2.1210844200238923)	(9.0, 1.4417957919495532)	('>10', 4.912241625942677)	('>50', 0.2778744550785396)	('>100', 0.05745090547792241)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM13.B_R2	(1.0, 41.236621710796626)	(2.0, 17.702564802473315)	(3.0, 11.64794720985243)	(4.0, 8.110071602296605)	(5.0, 5.58159402540914)	(6.0, 3.934606587064461)	(7.0, 2.7391667781034483)	(8.0, 2.035598415503191)	(9.0, 1.5607792770268694)	('>10', 5.019916275684573)	('>50', 0.26856151065952844)	('>100', 0.06489592619325578)	('>500', 0.0)	('>1k', 0.09767587893657888)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM131_R1	(1.0, 35.00460631066916)	(2.0, 17.453824139861272)	(3.0, 12.356805311670689)	(4.0, 9.012069532082997)	(5.0, 6.527350128956464)	(6.0, 4.964895195563359)	(7.0, 3.6815530470049844)	(8.0, 2.7153490387735157)	(9.0, 2.0207909097804055)	('>10', 6.2495660396120885)	('>50', 0.00605828277788106)	('>100', 0.007132063247204368)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM131_R2	(1.0, 36.84766770049841)	(2.0, 16.904186721848365)	(3.0, 12.004870748678814)	(4.0, 8.78448421445919)	(5.0, 6.266292253077886)	(6.0, 4.658115535171181)	(7.0, 3.433495069346408)	(8.0, 2.6180343505816723)	(9.0, 1.9764372311224874)	('>10', 6.291939539226845)	('>50', 0.0019064972382398702)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.2125701387505213)
