Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM12.A_R1	(15.0, 5.0)	(16.0, 77.0)	(17.0, 425.0)	(18.0, 1118.0)	(19.0, 2505.0)	(20.0, 4400.0)	(21.0, 6659.0)	(22.0, 8977.0)	(23.0, 10928.0)	(24.0, 13619.0)	(25.0, 16750.0)	(26.0, 20466.0)	(27.0, 24406.0)	(28.0, 30480.0)	(29.0, 37372.0)	(30.0, 46433.0)	(31.0, 57695.0)	(32.0, 79274.0)	(33.0, 113512.0)	(34.0, 171466.0)	(35.0, 250212.0)	(36.0, 408603.0)	(37.0, 541406.0)	(38.0, 673378.0)	(39.0, 2273644.0)	(40.0, 209966.0)					
IDDLNTM12.A_R2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 26.0)	(14.0, 42.0)	(15.0, 556.0)	(16.0, 3599.0)	(17.0, 7900.0)	(18.0, 10447.0)	(19.0, 10862.0)	(20.0, 11847.0)	(21.0, 12999.0)	(22.0, 14395.0)	(23.0, 16079.0)	(24.0, 18845.0)	(25.0, 21449.0)	(26.0, 25348.0)	(27.0, 28774.0)	(28.0, 34467.0)	(29.0, 42232.0)	(30.0, 49824.0)	(31.0, 53843.0)	(32.0, 67142.0)	(33.0, 84296.0)	(34.0, 108198.0)	(35.0, 141825.0)	(36.0, 208110.0)	(37.0, 351663.0)	(38.0, 1007890.0)	(39.0, 2588887.0)	(40.0, 82229.0)	
IDDLNTM12.B_R1	(15.0, 2.0)	(16.0, 53.0)	(17.0, 334.0)	(18.0, 955.0)	(19.0, 2154.0)	(20.0, 3935.0)	(21.0, 5910.0)	(22.0, 8384.0)	(23.0, 10563.0)	(24.0, 13645.0)	(25.0, 16687.0)	(26.0, 21323.0)	(27.0, 26350.0)	(28.0, 34175.0)	(29.0, 43914.0)	(30.0, 59567.0)	(31.0, 89312.0)	(32.0, 156288.0)	(33.0, 241115.0)	(34.0, 304204.0)	(35.0, 300983.0)	(36.0, 277326.0)	(37.0, 266761.0)	(38.0, 461313.0)	(39.0, 2054449.0)	(40.0, 209258.0)					
IDDLNTM12.B_R2	(12.0, 1.0)	(13.0, 14.0)	(14.0, 56.0)	(15.0, 378.0)	(16.0, 2288.0)	(17.0, 5781.0)	(18.0, 8506.0)	(19.0, 9116.0)	(20.0, 10312.0)	(21.0, 11531.0)	(22.0, 12950.0)	(23.0, 14362.0)	(24.0, 17173.0)	(25.0, 20121.0)	(26.0, 23967.0)	(27.0, 27003.0)	(28.0, 33257.0)	(29.0, 39989.0)	(30.0, 47139.0)	(31.0, 51565.0)	(32.0, 63621.0)	(33.0, 79222.0)	(34.0, 103002.0)	(35.0, 133316.0)	(36.0, 196556.0)	(37.0, 336159.0)	(38.0, 959041.0)	(39.0, 2332105.0)	(40.0, 70429.0)		
IDDLNTM120_R1	(15.0, 16.0)	(16.0, 196.0)	(17.0, 1079.0)	(18.0, 2968.0)	(19.0, 7206.0)	(20.0, 13443.0)	(21.0, 19935.0)	(22.0, 26437.0)	(23.0, 31666.0)	(24.0, 39087.0)	(25.0, 47273.0)	(26.0, 57106.0)	(27.0, 67596.0)	(28.0, 83766.0)	(29.0, 105471.0)	(30.0, 138198.0)	(31.0, 198579.0)	(32.0, 320789.0)	(33.0, 462801.0)	(34.0, 566032.0)	(35.0, 561688.0)	(36.0, 546176.0)	(37.0, 589780.0)	(38.0, 1069394.0)	(39.0, 4752664.0)	(40.0, 484747.0)					
IDDLNTM120_R2	(12.0, 5.0)	(13.0, 33.0)	(14.0, 69.0)	(15.0, 643.0)	(16.0, 4654.0)	(17.0, 13099.0)	(18.0, 19810.0)	(19.0, 22279.0)	(20.0, 25428.0)	(21.0, 28976.0)	(22.0, 33467.0)	(23.0, 37611.0)	(24.0, 44971.0)	(25.0, 53254.0)	(26.0, 63283.0)	(27.0, 73150.0)	(28.0, 90637.0)	(29.0, 113316.0)	(30.0, 139965.0)	(31.0, 168828.0)	(32.0, 233983.0)	(33.0, 352600.0)	(34.0, 524481.0)	(35.0, 631430.0)	(36.0, 725324.0)	(37.0, 833495.0)	(38.0, 1509095.0)	(39.0, 4298202.0)	(40.0, 152005.0)		
IDDLNTM121_R1	(15.0, 2.0)	(16.0, 99.0)	(17.0, 615.0)	(18.0, 1818.0)	(19.0, 4456.0)	(20.0, 8491.0)	(21.0, 12328.0)	(22.0, 16474.0)	(23.0, 19434.0)	(24.0, 23905.0)	(25.0, 28567.0)	(26.0, 34185.0)	(27.0, 39708.0)	(28.0, 49537.0)	(29.0, 60416.0)	(30.0, 75811.0)	(31.0, 97330.0)	(32.0, 141986.0)	(33.0, 212939.0)	(34.0, 312197.0)	(35.0, 388496.0)	(36.0, 473805.0)	(37.0, 512454.0)	(38.0, 825054.0)	(39.0, 3855058.0)	(40.0, 417093.0)					
IDDLNTM121_R2	(12.0, 6.0)	(13.0, 36.0)	(14.0, 74.0)	(15.0, 618.0)	(16.0, 4021.0)	(17.0, 11110.0)	(18.0, 16901.0)	(19.0, 18707.0)	(20.0, 20933.0)	(21.0, 23071.0)	(22.0, 26401.0)	(23.0, 28901.0)	(24.0, 34219.0)	(25.0, 39153.0)	(26.0, 45327.0)	(27.0, 51259.0)	(28.0, 61064.0)	(29.0, 73010.0)	(30.0, 85064.0)	(31.0, 92389.0)	(32.0, 114184.0)	(33.0, 140613.0)	(34.0, 179785.0)	(35.0, 231592.0)	(36.0, 339271.0)	(37.0, 574919.0)	(38.0, 1479640.0)	(39.0, 3792366.0)	(40.0, 127624.0)		
IDDLNTM124_R1	(15.0, 2.0)	(16.0, 103.0)	(17.0, 542.0)	(18.0, 1642.0)	(19.0, 3732.0)	(20.0, 7102.0)	(21.0, 10531.0)	(22.0, 14171.0)	(23.0, 16994.0)	(24.0, 21094.0)	(25.0, 24958.0)	(26.0, 30168.0)	(27.0, 35310.0)	(28.0, 43869.0)	(29.0, 52574.0)	(30.0, 65172.0)	(31.0, 81641.0)	(32.0, 112019.0)	(33.0, 161685.0)	(34.0, 242129.0)	(35.0, 343658.0)	(36.0, 506972.0)	(37.0, 586274.0)	(38.0, 723403.0)	(39.0, 2912569.0)	(40.0, 297804.0)					
IDDLNTM124_R2	(12.0, 6.0)	(13.0, 21.0)	(14.0, 54.0)	(15.0, 481.0)	(16.0, 3484.0)	(17.0, 8899.0)	(18.0, 13127.0)	(19.0, 14403.0)	(20.0, 16291.0)	(21.0, 18135.0)	(22.0, 20047.0)	(23.0, 22308.0)	(24.0, 26261.0)	(25.0, 30189.0)	(26.0, 35066.0)	(27.0, 39700.0)	(28.0, 47199.0)	(29.0, 56990.0)	(30.0, 66441.0)	(31.0, 72185.0)	(32.0, 88744.0)	(33.0, 109273.0)	(34.0, 139230.0)	(35.0, 179918.0)	(36.0, 263879.0)	(37.0, 443559.0)	(38.0, 1271500.0)	(39.0, 3214681.0)	(40.0, 94047.0)		
